N,Triton,Torch
1024.000000,438.857137,201.442627
1536.000000,511.999982,220.742508
2048.000000,578.258826,208.271180
2560.000000,633.402085,173.559327
3072.000000,672.739107,162.039560
3584.000000,693.677429,147.122346
4096.000000,718.530867,136.155120
4608.000000,742.228190,130.716163
5120.000000,758.518534,127.601246
5632.000000,772.388599,126.089551
6144.000000,784.340403,124.435449
6656.000000,794.746259,120.926566
7168.000000,800.148864,118.560993
7680.000000,808.421037,118.153846
8192.000000,819.200021,118.074017
8704.000000,822.425154,118.220716
9216.000000,825.313422,102.770224
9728.000000,830.399483,118.453570
10240.000000,835.918374,118.584104
10752.000000,840.547206,118.588233
11264.000000,845.088863,118.672514
11776.000000,851.277119,118.849456
12288.000000,857.302325,118.868197
12800.000000,858.025667,118.931470
13312.000000,858.838688,119.086965
13824.000000,861.755862,119.111578
14336.000000,864.210979,119.259615
14848.000000,864.932052,119.261047
15360.000000,869.433966,119.426584
15872.000000,867.717548,119.407315
