N,Triton,Torch,Torch Compile
1024.000000,744.727267,186.181817,1242.388591
1536.000000,1117.090900,195.047621,1360.609050
2048.000000,1213.629628,201.030670,1024.000003
2560.000000,819.200021,152.267652,864.021079
3072.000000,1068.521715,123.497486,843.811163
3584.000000,1061.925924,108.196222,842.133065
4096.000000,1057.032272,100.054965,851.116917
4608.000000,857.302325,97.782496,849.278628
5120.000000,862.315762,96.380014,862.315762
5632.000000,852.122951,95.243227,858.209531
6144.000000,1003.102074,95.440773,862.315773
6656.000000,865.821101,93.911815,858.838721
7168.000000,980.239289,94.083678,862.315828
7680.000000,877.714262,93.734449,865.352086
8192.000000,879.677855,91.234074,868.026489
8704.000000,881.417748,91.260814,866.002320
9216.000000,888.289167,91.147055,871.553785
9728.000000,889.417175,91.342720,869.541923
10240.000000,965.539612,92.148480,867.021638
10752.000000,895.271423,91.457735,867.684451
11264.000000,959.515512,91.997957,866.461548
11776.000000,892.966799,91.464074,864.293574
12288.000000,954.407781,92.046290,866.114550
12800.000000,894.323154,91.592128,864.135020
13312.000000,930.604056,91.688334,865.821101
13824.000000,892.095752,91.701494,864.000002
14336.000000,940.065592,92.118872,864.753968
14848.000000,896.482986,91.760528,863.883641
15360.000000,928.271927,91.769981,862.315828
15872.000000,896.663812,91.761206,860.854222
